Name,release year,volume(mm^3),weight(g),screen size(in),total resolution,OSType,number of cores,core clock rate(gHz),ram,primary camera(MP),battery(mAh)
Samsung Galaxy Y S5360,2011.0,69368.0,97.5,3.0,76800.0,2.0,1.0,0.83,0.29,2.0,1200.0,
Samsung S5690 Galaxy Xcover,2011.0,96082.20000000001,100.0,3.65,153600.0,2.0,1.0,0.8,0.512,3.0,1500.0,
Samsung Galaxy S II 4G I9100M,2011.0,70399.805,116.0,4.3,384000.0,2.0,2.0,1.2,1.0,8.0,1700.0,
Samsung I9103 Galaxy R,2011.0,78375.0,135.0,4.2,384000.0,2.0,2.0,1.0,1.0,5.0,1650.0,
Samsung Conquer 4G,2011.0,82181.38499999998,116.0,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1500.0,
Samsung Gravity SMART,2011.0,94164.0,130.0,3.2,153600.0,2.0,1.0,0.8,0.27,3.0,1500.0,
Samsung Exhibit 4G,2011.0,89726.0,125.0,3.5,384000.0,2.0,1.0,1.0,1.0,3.0,1500.0,
Samsung I9001 Galaxy S Plus,2011.0,77794.99200000001,119.0,4.0,384000.0,2.0,1.0,1.4,0.512,5.0,1650.0,
Samsung M580 Replenish,2011.0,81180.0,116.0,2.8,76800.0,2.0,1.0,0.6,0.512,2.0,1160.0,
Samsung M220L Galaxy Neo,2011.0,79795.991,121.8,3.5,384000.0,2.0,1.0,0.8,0.512,3.0,1500.0,
Samsung Google Nexus S I9020A,2011.0,85082.13,129.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
Samsung P1010 Galaxy Tab Wi-Fi,2011.0,274884.6,380.0,7.0,614400.0,2.0,1.0,1.0,0.592,3.0,4000.0,
Samsung P7500 Galaxy Tab 10.1 3G,2011.0,386995.786,565.0,10.1,1024000.0,2.0,2.0,1.0,1.0,3.0,7000.0,
Samsung Galaxy Tab 10.1 LTE I905,2011.0,386995.786,565.0,10.1,1024000.0,2.0,2.0,1.0,1.0,3.0,6800.0,
Samsung Galaxy Tab 10.1 P7510,2011.0,386995.786,560.0,10.1,1024000.0,2.0,2.0,1.0,1.0,3.0,7000.0,
Samsung Galaxy Tab 8.9 P7300,2011.0,313349.772,453.0,8.9,1024000.0,2.0,2.0,1.0,1.0,3.0,6000.0,
Samsung Galaxy Tab 8.9 P7310,2011.0,313349.772,447.9,8.9,1024000.0,2.0,2.0,1.0,1.0,3.0,6000.0,
Samsung Google Nexus S 4G,2011.0,85082.13,131.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
Samsung I9100 Galaxy S II,2011.0,70399.805,116.0,4.3,384000.0,2.0,2.0,1.2,1.0,8.0,1650.0,
Samsung I9003 Galaxy SL,2011.0,84180.32400000001,131.0,4.0,384000.0,2.0,1.0,1.0,0.478,5.0,1650.0,
Samsung Galaxy Ace S5830,2011.0,77426.74,113.0,3.5,153600.0,2.0,1.0,0.8,0.278,5.0,1350.0,
Samsung Galaxy Fit S5670,2011.0,84977.424,108.0,3.3,76800.0,2.0,1.0,0.6,0.28,5.0,1350.0,
Samsung Galaxy Gio S5660,2011.0,77515.75,102.0,3.2,153600.0,2.0,1.0,0.8,0.278,3.0,1350.0,
Samsung Galaxy Mini S5570,2011.0,81219.072,105.0,3.14,76800.0,2.0,1.0,0.6,0.384,3.0,1200.0,
Samsung Google Nexus S,2010.0,85082.13,129.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
Samsung Galaxy Tab T-Mobile T849,2010.0,274884.6,380.0,7.0,614400.0,2.0,1.0,1.0,0.64,3.0,4000.0,
Samsung P1000 Galaxy Tab,2010.0,274884.6,380.0,7.0,614400.0,2.0,1.0,1.0,0.512,3.0,4000.0,
Samsung Mesmerize i500,2010.0,79252.965,117.9,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
Samsung M920 Transform,2010.0,107055.0,152.0,3.5,153600.0,2.0,1.0,0.8,0.512,3.0,1500.0,
Samsung i897 Captivate,2010.0,77794.99200000001,118.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
Samsung Epic 4G,2010.0,112840.0,155.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
Samsung Galaxy A,2010.0,89326.25,128.0,3.7,384000.0,2.0,1.0,0.72,1.0,5.0,1500.0,
Samsung I9000 Galaxy S,2010.0,77794.99200000001,119.0,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1500.0,
Samsung I8520 Galaxy Beam,2010.0,109595.45999999999,156.0,3.7,384000.0,2.0,1.0,0.72,0.512,8.0,1800.0,
Apple iPad mini 3,2014.0,202049.99999999997,331.0,7.9,3145728.0,3.0,2.0,1.3,1.0,5.0,6470.0,
Apple iPhone 6 Plus,2014.0,87331.27799999999,172.0,5.5,2073600.0,3.0,2.0,1.4,1.0,8.0,2915.0,
Apple iPhone 6,2014.0,63843.63,129.0,4.7,1000500.0,3.0,2.0,1.4,1.0,8.0,1810.0,
Apple iPad Air,2013.0,305100.0,469.0,9.7,3145728.0,3.0,2.0,1.3,1.0,5.0,8600.0,
Apple iPad mini 2,2013.0,202049.99999999997,331.0,7.9,3145728.0,3.0,2.0,1.3,1.0,5.0,6470.0,
Apple iPhone 5s,2013.0,55135.568,112.0,4.0,727040.0,3.0,2.0,1.3,1.0,8.0,1560.0,
Apple iPhone 5c,2013.0,66280.32,132.0,4.0,727040.0,3.0,2.0,1.3,1.0,8.0,1510.0,
Apple iPad mini Wi-Fi,2012.0,193967.99999999997,308.0,7.9,786432.0,3.0,2.0,1.0,0.512,5.0,4490.0,
Apple iPad mini Wi-Fi + Cellular,2012.0,193967.99999999997,312.0,7.9,786432.0,3.0,2.0,1.0,0.512,5.0,4490.0,
Apple iPad 4 Wi-Fi,2012.0,421033.896,652.0,9.7,3145728.0,3.0,2.0,1.4,1.0,5.0,11560.0,
Apple iPad 4 Wi-Fi + Cellular,2012.0,421033.896,662.0,9.7,3145728.0,3.0,2.0,1.4,1.0,5.0,11560.0,
Apple iPhone 5,2012.0,55135.568,112.0,4.0,727040.0,3.0,2.0,1.3,1.0,8.0,1440.0,
Apple iPad 3 Wi-Fi + Cellular,2012.0,421033.896,662.0,9.7,3145728.0,3.0,2.0,1.0,1.0,5.0,11560.0,
Apple iPad 3 Wi-Fi,2012.0,421033.896,652.0,9.7,3145728.0,3.0,2.0,1.0,1.0,5.0,11560.0,
Apple iPhone 4s,2011.0,62781.696,140.0,3.5,614400.0,3.0,2.0,1.0,0.512,8.0,1432.0,
Apple iPad 2 Wi-Fi + 3G,2011.0,394159.392,607.0,9.7,786432.0,3.0,2.0,1.0,0.512,0.0,6930.0,
Apple iPad 2 Wi-Fi,2011.0,394159.392,601.0,9.7,786432.0,3.0,2.0,1.0,0.512,0.0,6930.0,
Apple iPad 2 CDMA,2011.0,394159.392,607.0,9.7,786432.0,3.0,2.0,1.0,0.512,0.0,6930.0,
Apple iPhone 4,2010.0,62781.696,137.0,3.5,614400.0,3.0,1.0,1.0,0.512,5.0,1420.0,
Nokia N1,2014.0,191937.438,318.0,7.9,3145728.0,2.0,4.0,2.3,2.0,8.0,5300.0,
Nokia X2 Dual SIM,2014.0,92264.421,150.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1800.0,
Nokia XL,2014.0,119755.90200000002,190.0,5.0,384000.0,2.0,2.0,1.0,0.768,5.0,2000.0,
Nokia X+,2014.0,75675.6,128.7,4.0,384000.0,2.0,2.0,1.0,0.768,3.0,1500.0,
Sony Xperia M4 Aqua,2015.0,77112.09,136.0,5.0,921600.0,2.0,4.0,1.5,2.0,13.0,2400.0,
Sony Xperia Z4 Tablet LTE,2015.0,258749.8,392.0,10.1,4096000.0,2.0,4.0,1.5,3.0,8.0,6000.0,
Sony Xperia E4g,2015.0,101984.40000000001,135.0,4.7,518400.0,2.0,4.0,1.5,1.0,5.0,2300.0,
Sony Xperia E4g Dual,2015.0,101984.40000000001,135.0,4.7,518400.0,2.0,4.0,1.5,1.0,5.0,2300.0,
Sony Xperia E4 Dual,2015.0,107312.09999999999,144.0,5.0,518400.0,2.0,4.0,1.3,1.0,5.0,2300.0,
Sony Xperia E4,2015.0,107312.09999999999,144.0,5.0,518400.0,2.0,4.0,1.3,1.0,5.0,2300.0,
Sony Xperia E3 Dual,2014.0,80875.29,143.8,4.5,409920.0,2.0,4.0,1.2,1.0,5.0,2330.0,
Sony Xperia E3,2014.0,80875.29,143.8,4.5,409920.0,2.0,4.0,1.2,1.0,5.0,2330.0,
Sony Xperia Z3 Tablet Compact,2014.0,168807.936,270.0,8.0,2304000.0,2.0,4.0,2.5,3.0,8.0,4500.0,
Sony Xperia Z3 Dual,2014.0,76737.59999999999,152.0,5.2,2073600.0,2.0,4.0,2.5,3.0,20.0,3100.0,
Sony Xperia Z3v,2014.0,97009.11000000002,170.6,5.2,2073600.0,2.0,4.0,2.5,3.0,20.0,3200.0,
Sony Xperia Z3,2014.0,76737.59999999999,152.0,5.2,2073600.0,2.0,4.0,2.5,3.0,20.0,3100.0,
Sony Xperia Z3 Compact,2014.0,71051.222,129.0,4.6,921600.0,2.0,4.0,2.5,2.0,20.0,2600.0,
Sony Xperia M2 Aqua,2014.0,86688.0,149.0,4.8,518400.0,2.0,4.0,1.2,1.0,8.0,2300.0,
Sony Xperia C3 Dual,2014.0,93426.34399999998,149.7,5.5,921600.0,2.0,4.0,1.2,1.0,8.0,2500.0,
Sony Xperia C3,2014.0,93426.34399999998,149.7,5.5,921600.0,2.0,4.0,1.2,1.0,8.0,2500.0,
Sony Xperia Z2a,2014.0,108504.0,163.0,5.0,2073600.0,2.0,4.0,2.3,3.0,20.0,3000.0,
Sony Xperia T3,2014.0,81227.3,148.0,5.3,921600.0,2.0,4.0,1.4,1.0,8.0,2500.0,
Sony Xperia M2,2014.0,85420.96199999998,148.0,4.8,518400.0,2.0,4.0,1.2,1.0,8.0,2300.0,
Sony Xperia Z2 Tablet LTE,2014.0,292812.8,439.0,10.1,2304000.0,2.0,4.0,2.3,3.0,8.0,6000.0,
Sony Xperia Z2 Tablet Wi-Fi,2014.0,292812.8,426.0,10.1,2304000.0,2.0,4.0,2.3,3.0,8.0,6000.0,
Sony Xperia Z2,2014.0,88235.608,163.0,5.2,2073600.0,2.0,4.0,2.3,3.0,20.0,3200.0,
Sony Xperia E1 dual,2014.0,88358.4,122.0,4.0,384000.0,2.0,2.0,1.2,0.512,3.0,1750.0,
Sony Xperia E1,2014.0,88358.4,120.0,4.0,384000.0,2.0,2.0,1.2,0.512,3.0,1700.0,
Sony Xperia T2 Ultra dual,2014.0,106596.95199999999,171.8,6.0,921600.0,2.0,4.0,1.4,1.0,13.0,3000.0,
Sony Xperia T2 Ultra,2014.0,106596.95199999999,171.7,6.0,921600.0,2.0,4.0,1.4,1.0,13.0,3000.0,
Sony Xperia Z1s,2014.0,92598.17799999999,162.0,5.0,2073600.0,2.0,4.0,2.2,2.0,20.0,3000.0,
Sony Xperia Z1 Compact,2014.0,78301.85,137.0,4.3,921600.0,2.0,4.0,2.2,2.0,20.0,2300.0,
Sony Xperia Z1,2013.0,90576.0,170.0,5.0,2073600.0,2.0,4.0,2.2,2.0,20.0,3000.0,
Sony Xperia Z Ultra,2013.0,107514.42,212.0,6.4,2073600.0,2.0,4.0,2.2,2.0,8.0,3050.0,
Sony Xperia C,2013.0,93443.77000000002,153.0,5.0,518400.0,2.0,4.0,1.2,1.0,8.0,2390.0,
Sony Xperia M,2013.0,71498.40000000001,115.0,4.0,409920.0,2.0,2.0,1.0,1.0,5.0,1750.0,
Sony Xperia ZR,2013.0,92783.145,138.0,4.55,921600.0,2.0,4.0,1.5,2.0,13.0,2300.0,
Sony Xperia L,2013.0,81145.34999999999,137.0,4.3,409920.0,2.0,2.0,1.0,1.0,8.0,1750.0,
Sony Xperia SP,2013.0,87632.59999999998,155.0,4.6,921600.0,2.0,2.0,1.7,1.0,8.0,2370.0,
Sony Xperia Tablet Z LTE,2013.0,315688.8,495.0,10.1,2304000.0,2.0,4.0,1.5,2.0,8.0,6000.0,
Sony Xperia Tablet Z Wi-Fi,2013.0,315688.8,495.0,10.1,2304000.0,2.0,4.0,1.5,2.0,8.0,6000.0,
Sony Xperia Z,2013.0,77965.1,146.0,5.0,2073600.0,2.0,4.0,1.5,2.0,13.0,2330.0,
Sony Xperia E dual,2012.0,77157.29999999999,115.7,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1530.0,
Sony Xperia E,2012.0,77157.29999999999,115.7,3.5,153600.0,2.0,1.0,1.0,0.512,3.0,1530.0,
Sony Xperia T LTE,2012.0,81861.028,148.0,4.55,921600.0,2.0,2.0,1.5,1.0,13.0,1850.0,
Sony Xperia Tablet S 3G,2012.0,368025.856,585.0,9.4,1024000.0,2.0,4.0,1.3,1.0,8.0,6000.0,
Sony Xperia Tablet S,2012.0,368025.856,570.0,9.4,1024000.0,2.0,4.0,1.3,1.0,8.0,6000.0,
Sony Xperia V,2012.0,89719.5,120.0,4.3,921600.0,2.0,2.0,1.5,1.0,13.0,1750.0,
Sony Xperia J,2012.0,69985.87199999999,124.0,4.0,409920.0,2.0,1.0,1.0,0.512,5.0,1750.0,
Sony Xperia TX,2012.0,77284.75999999998,127.0,4.55,921600.0,2.0,2.0,1.5,1.0,13.0,1750.0,
Sony Xperia T,2012.0,81861.028,139.0,4.55,921600.0,2.0,2.0,1.5,1.0,13.0,1850.0,
Sony Xperia SL,2012.0,86835.2,144.0,4.3,921600.0,2.0,2.0,1.7,1.0,12.0,1750.0,
Sony Xperia tipo dual,2012.0,76323.0,99.4,3.2,153600.0,2.0,1.0,0.8,0.512,3.0,1500.0,
Sony Xperia tipo,2012.0,76323.0,99.4,3.2,153600.0,2.0,1.0,0.8,0.512,3.0,1500.0,
Sony Xperia miro,2012.0,66450.78,110.0,3.5,153600.0,2.0,1.0,0.8,0.512,5.0,1500.0,
Sony Xperia go,2012.0,65594.34,110.0,3.5,153600.0,2.0,2.0,1.0,0.512,5.0,1305.0,
Sony Xperia acro S,2012.0,98960.40000000001,147.0,4.3,921600.0,2.0,2.0,1.5,1.0,12.0,1910.0,
Sony Xperia SX SO-05D,2012.0,58374.0,95.0,3.7,518400.0,2.0,2.0,1.5,1.0,8.0,1500.0,
Sony Xperia GX SO-04D,2012.0,77735.4,127.0,4.6,921600.0,2.0,2.0,1.5,1.0,13.0,1700.0,
Sony Xperia acro HD SO-03D,2012.0,98960.40000000001,149.0,4.3,921600.0,2.0,2.0,1.5,1.0,12.0,1910.0,
Sony Xperia acro HD SOI12,2012.0,98960.40000000001,149.0,4.3,921600.0,2.0,2.0,1.5,1.0,12.0,1900.0,
Sony Xperia sola,2012.0,67755.6,107.0,3.7,409920.0,2.0,2.0,1.0,0.512,5.0,1320.0,
Sony Xperia U,2012.0,72576.0,110.0,3.5,409920.0,2.0,2.0,1.0,0.512,5.0,1320.0,
Sony Xperia P,2012.0,76219.5,120.0,4.0,518400.0,2.0,2.0,1.0,1.0,8.0,1305.0,
Sony Xperia S,2012.0,86835.2,144.0,4.3,921600.0,2.0,2.0,1.5,1.0,12.0,1750.0,
Sony Xperia ion HSPA,2012.0,97675.20000000001,144.0,4.55,921600.0,2.0,2.0,1.5,1.0,12.0,1900.0,
Sony Xperia ion LTE,2012.0,97675.20000000001,144.0,4.55,921600.0,2.0,2.0,1.5,1.0,12.0,1900.0,
Sony Tablet P,2012.0,398160.0,372.0,5.5,491520.0,2.0,2.0,1.0,1.0,5.0,3080.0,
Sony Tablet P 3G,2011.0,398160.0,372.0,5.5,491520.0,2.0,2.0,1.0,1.0,5.0,3080.0,
LG G Flex2,2015.0,79713.333,152.0,5.5,2073600.0,2.0,4.0,1.5,2.0,13.0,3000.0,
LG Tribute,2014.0,92496.15,138.9,4.5,384000.0,2.0,4.0,1.2,1.0,5.0,2100.0,
LG G2 Lite,2014.0,103021.27500000001,153.7,4.5,384000.0,2.0,4.0,1.2,1.0,8.0,1820.0,
LG G3 Dual-LTE,2014.0,97134.422,149.0,5.5,3686400.0,2.0,4.0,2.5,3.0,13.0,3000.0,
LG G3 Screen,2014.0,122626.38,182.0,5.9,2073600.0,2.0,4.0,1.5,2.0,13.0,3000.0,
LG F60,2014.0,91766.84999999999,129.6,4.5,384000.0,2.0,4.0,1.2,1.0,5.0,2100.0,
LG L60,2014.0,97088.394,119.0,4.3,384000.0,2.0,2.0,1.3,0.512,5.0,1540.0,
LG G3 Stylus,2014.0,115585.07400000002,163.0,5.5,518400.0,2.0,4.0,1.3,1.0,13.0,3000.0,
LG L Bello,2014.0,104323.50199999998,137.0,5.0,409920.0,2.0,4.0,1.3,1.0,8.0,2540.0,
LG L Fino,2014.0,103021.27500000001,145.0,4.5,384000.0,2.0,4.0,1.2,1.0,8.0,1900.0,
LG G Vista,2014.0,109621.51199999999,167.0,5.7,921600.0,2.0,4.0,1.2,1.0,8.0,3200.0,
LG G3 A,2014.0,98936.87999999999,146.8,5.2,2073600.0,2.0,4.0,2.26,2.0,13.0,2610.0,
LG L50,2014.0,99336.06000000001,142.0,4.0,384000.0,2.0,2.0,1.3,0.512,3.0,1900.0,
LG G Vista (CDMA),2014.0,109832.08599999998,168.1,5.7,921600.0,2.0,4.0,1.2,1.0,8.0,3200.0,
LG G3 LTE-A,2014.0,99317.218,154.0,5.5,3686400.0,2.0,4.0,2.7,3.0,13.0,3000.0,
LG G3 S,2014.0,98714.37599999999,134.0,5.0,921600.0,2.0,4.0,1.2,1.0,8.0,2540.0,
LG L65 D280,2014.0,80721.12,127.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,2100.0,
LG G3 (CDMA),2014.0,97264.62900000002,149.7,5.5,3686400.0,2.0,4.0,2.5,3.0,13.0,3000.0,
LG G3,2014.0,97134.422,149.0,5.5,3686400.0,2.0,4.0,2.5,2.0,13.0,3000.0,
LG L35,2014.0,76809.74,107.0,3.2,153600.0,2.0,2.0,1.2,0.512,3.0,1540.0,
LG Volt,2014.0,90330.24,136.1,4.7,518400.0,2.0,4.0,1.2,1.0,8.0,3000.0,
LG G Pad 10.1,2014.0,385221.459,523.0,10.1,1024000.0,2.0,4.0,1.2,1.0,5.0,8000.0,
LG G Pad 8.0,2014.0,259195.464,342.0,8.0,1024000.0,2.0,4.0,1.2,1.0,5.0,4200.0,
LG G Pad 7.0,2014.0,217577.634,293.0,7.0,1024000.0,2.0,4.0,1.2,1.0,3.0,4000.0,
LG L80,2014.0,99602.12199999997,138.0,5.0,384000.0,2.0,2.0,1.2,1.0,8.0,2540.0,
LG Lucid 3 VS876,2014.0,85987.44,123.9,4.7,518400.0,2.0,4.0,1.2,1.0,5.0,2440.0,
LG L65 Dual D285,2014.0,81570.81599999999,126.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,2100.0,
LG F70 D315,2014.0,84460.80000000002,129.6,4.5,384000.0,2.0,4.0,1.2,1.0,5.0,2440.0,
LG G2 mini LTE (Tegra),2014.0,83825.28000000001,121.0,4.7,518400.0,2.0,4.0,1.7,1.0,13.0,2440.0,
LG G2 mini LTE,2014.0,83825.28000000001,121.0,4.7,518400.0,2.0,4.0,1.2,1.0,8.0,2440.0,
LG G2 mini,2014.0,83825.28000000001,121.0,4.7,518400.0,2.0,4.0,1.2,1.0,8.0,2440.0,
LG L90 Dual D410,2014.0,84250.31999999999,125.0,4.7,518400.0,2.0,4.0,1.2,1.0,8.0,2540.0,
LG L90 D405,2014.0,84250.31999999999,126.0,4.7,518400.0,2.0,4.0,1.2,1.0,8.0,2540.0,
LG L70 D320N,2014.0,80721.12,124.0,4.5,384000.0,2.0,2.0,1.2,1.0,5.0,2100.0,
LG L70 Dual D325,2014.0,80721.12,126.6,4.5,384000.0,2.0,2.0,1.2,1.0,5.0,2100.0,
LG L40 D160,2014.0,76809.74,114.0,3.5,153600.0,2.0,2.0,1.2,0.512,3.0,1540.0,
LG L40 Dual D170,2014.0,76809.74,113.4,3.5,153600.0,2.0,2.0,1.2,0.512,3.0,1700.0,
LG G Pro 2,2014.0,107335.68300000002,172.0,5.9,2073600.0,2.0,4.0,2.26,3.0,13.0,3200.0,
LG Optimus L4 II Tri E470,2013.0,92686.632,140.0,3.8,153600.0,2.0,1.0,1.0,0.512,3.0,2150.0,
LG Optimus L1 II Tri E475,2014.0,80373.762,104.6,3.0,76800.0,2.0,1.0,1.0,0.512,2.0,1540.0,
LG Optimus F3Q,2014.0,110587.68,159.9,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,2460.0,
LG GX F310L,2013.0,105438.07199999997,167.0,5.5,2073600.0,2.0,4.0,1.7,2.0,13.0,3140.0,
LG Nexus 5,2013.0,82067.048,130.0,4.95,2073600.0,2.0,4.0,2.3,2.0,8.0,2300.0,
LG G Flex,2013.0,113942.15999999999,177.0,6.0,921600.0,2.0,4.0,2.26,2.0,13.0,3500.0,
LG G Pro Lite Dual,2013.0,108573.572,161.0,5.5,518400.0,2.0,2.0,1.0,1.0,8.0,3140.0,
LG G Pad 8.3,2013.0,227629.16000000003,338.0,8.3,2304000.0,2.0,4.0,1.7,2.0,5.0,4600.0,
LG G2,2013.0,87394.88500000001,143.0,5.2,2073600.0,2.0,4.0,2.26,2.0,13.0,3000.0,
LG Optimus L9 II,2013.0,76847.40000000001,120.0,4.7,921600.0,2.0,2.0,1.4,1.0,8.0,2150.0,
LG Enact VS890,2013.0,91723.73999999999,169.8,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,2460.0,
LG Optimus GJ E975W,2013.0,88664.65400000002,141.2,4.7,921600.0,2.0,4.0,1.5,2.0,13.0,2280.0,
LG Optimus L4 II Dual E445,2013.0,86848.104,125.0,3.8,153600.0,2.0,1.0,1.0,0.512,3.0,1700.0,
LG Optimus L4 II E440,2013.0,86617.125,125.0,3.8,153600.0,2.0,1.0,1.0,0.512,3.0,1700.0,
LG Optimus Zone VS410,2013.0,75087.81,110.0,3.2,76800.0,2.0,1.0,0.8,0.512,3.0,1540.0,
LG Optimus F3,2013.0,72701.81999999999,113.4,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,2460.0,
LG Lucid2 VS870,2013.0,75391.40000000001,129.0,4.3,518400.0,2.0,2.0,1.2,1.0,5.0,2460.0,
LG Optimus F7,2013.0,86226.62399999998,133.2,4.7,921600.0,2.0,2.0,1.5,1.0,8.0,2540.0,
LG Optimus F6,2013.0,86039.04000000001,126.0,4.5,518400.0,2.0,2.0,1.2,1.0,5.0,2460.0,
LG Optimus F5,2013.0,75581.1,131.0,4.3,518400.0,2.0,2.0,1.2,1.0,5.0,2150.0,
LG Optimus G Pro E985,2013.0,107444.06799999998,172.0,5.5,2073600.0,2.0,4.0,1.7,2.0,13.0,3140.0,
LG Optimus L7 II Dual P715,2013.0,78943.64399999999,115.5,4.3,384000.0,2.0,2.0,1.0,0.768,8.0,2460.0,
LG Optimus L7 II P710,2013.0,78491.43,118.0,4.3,384000.0,2.0,2.0,1.0,0.768,8.0,2460.0,
LG Optimus L5 II E460,2013.0,67238.2,103.3,4.0,384000.0,2.0,1.0,1.0,0.512,5.0,1700.0,
LG Optimus L3 II Dual E435,2013.0,75062.463,110.0,3.2,76800.0,2.0,1.0,1.0,0.512,3.0,1540.0,
LG Optimus L3 II E430,2013.0,74599.434,107.0,3.2,76800.0,2.0,1.0,1.0,0.512,3.0,1540.0,
LG Optimus L1 II E410,2013.0,74318.496,105.0,3.0,76800.0,2.0,1.0,1.0,0.512,2.0,1540.0,
LG Nexus 4 E960,2012.0,83710.263,139.0,4.7,983040.0,2.0,4.0,1.5,2.0,8.0,2100.0,
LG Spectrum II 4G VS930,2012.0,83844.397,148.0,4.7,921600.0,2.0,2.0,1.5,1.0,8.0,2150.0,
LG Mach LS860,2012.0,93494.7,167.8,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Optimus L9 P769,2012.0,80013.02399999999,119.1,4.5,518400.0,2.0,2.0,1.0,1.0,5.0,2150.0,
LG Optimus Vu II,2013.0,106373.40799999998,159.0,5.0,786432.0,2.0,2.0,1.5,2.0,8.0,2150.0,
LG Optimus G E970,2012.0,78668.35200000001,147.1,4.7,983040.0,2.0,4.0,1.5,2.0,8.0,2100.0,
LG Optimus G E975,2012.0,77247.23500000002,145.0,4.7,983040.0,2.0,4.0,1.5,2.0,13.0,2100.0,
LG Intuition VS950,2012.0,106082.592,168.1,5.0,786432.0,2.0,2.0,1.5,1.0,8.0,2080.0,
LG Splendor US730,2012.0,75375.0,120.0,4.3,384000.0,2.0,1.0,1.0,0.768,5.0,1700.0,
LG Optimus L5 Dual E615,2012.0,74736.025,120.0,4.0,153600.0,2.0,1.0,0.8,0.512,5.0,1540.0,
LG Optimus L9 P760,2012.0,81859.77799999999,125.0,4.7,518400.0,2.0,2.0,1.0,1.0,5.0,2150.0,
LG Motion 4G MS770,2012.0,79220.7,132.0,3.5,153600.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Optimus Vu P895,2012.0,107268.64,168.0,5.0,786432.0,2.0,4.0,1.5,1.0,8.0,2100.0,
LG Optimus L3 E405,2012.0,75209.904,119.0,3.2,76800.0,2.0,1.0,0.8,0.384,3.0,1540.0,
LG Optimus Elite LS696,2012.0,73710.0,120.0,3.5,153600.0,2.0,1.0,0.8,4.0,5.0,1520.0,
LG Optimus LTE2,2012.0,83318.685,145.0,4.7,921600.0,2.0,2.0,1.5,2.0,8.0,2150.0,
LG Optimus True HD LTE P936,2012.0,93848.66400000002,135.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG Lucid 4G VS840,2012.0,84451.42800000001,142.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Optimus M+ MS695,2012.0,70639.07400000001,119.0,3.5,153600.0,2.0,1.0,0.8,0.512,5.0,1300.0,
LG Optimus 4X HD P880,2012.0,80246.316,133.0,4.7,921600.0,2.0,4.0,1.5,1.0,8.0,2150.0,
LG Optimus 3D Max P720,2012.0,82044.67199999999,148.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1520.0,
LG Optimus 3D Cube SU870,2012.0,82044.67199999999,148.0,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1520.0,
LG Optimus L7 P700,2012.0,73153.95,122.0,4.3,384000.0,2.0,1.0,1.0,0.512,5.0,1700.0,
LG Optimus Vu F100S,2012.0,107268.64,168.0,5.0,786432.0,2.0,2.0,1.5,1.0,8.0,2080.0,
LG Optimus LTE Tag,2012.0,81598.825,141.7,4.3,384000.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Optimus L3 E400,2012.0,75209.904,110.0,3.2,76800.0,2.0,1.0,0.8,0.384,3.0,1500.0,
LG Connect 4G MS840,2012.0,84871.79999999999,137.0,4.0,403200.0,2.0,2.0,1.2,1.0,5.0,1540.0,
LG Viper 4G LTE LS840,2012.0,84871.79999999999,142.0,4.0,384000.0,2.0,2.0,1.2,1.0,5.0,1700.0,
LG Spectrum VS920,2012.0,96881.40800000001,141.5,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG Prada 3.0,2011.0,74778.75,138.0,4.3,384000.0,2.0,2.0,1.0,1.0,8.0,1540.0,
LG Nitro HD,2011.0,94415.568,127.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG Optimus 4G LTE P935,2011.0,95464.00500000002,135.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
LG DoublePlay,2011.0,124825.6,192.0,3.5,153600.0,2.0,1.0,1.0,0.512,5.0,1500.0,
LG Optimus LTE LU6200,2011.0,93848.66400000002,139.0,4.5,921600.0,2.0,2.0,1.5,1.0,8.0,1830.0,
